
Gerando 50 sequencias de 4  valores aleatorios:

 V1	V2	V3	v4

0.425566	-0.358920	0.778423	-0.344580	
0.152733	-0.767199	0.623326	-0.051028	
0.220036	-0.954985	0.493829	-0.409968	
0.926535	-0.175039	0.988578	-0.691686	
0.634844	-0.877470	0.487586	-0.842178	
0.384963	-0.447017	0.234169	-0.817062	
0.578732	-0.758980	0.993306	-0.357155	
0.570373	-0.509889	0.387112	-0.710051	
0.201690	-0.446439	0.548606	-0.695519	
0.035091	-0.138407	0.547799	-0.023669	
0.322262	-0.174865	0.223915	-0.809848	
0.612983	-0.194811	0.980413	-0.363504	
0.614799	-0.942237	0.770854	-0.124458	
0.390767	-0.211183	0.841985	-0.294231	
0.919255	-0.495921	0.884026	-0.467861	
0.256786	-0.502953	0.846199	-0.804585	
0.708997	-0.643199	0.217840	-0.932912	
0.751236	-0.062248	0.647859	-0.731649	
0.176085	-0.862800	0.367989	-0.946939	
0.183734	-0.854058	0.714794	-0.025719	
0.152381	-0.461326	0.160562	-0.036407	
0.384707	-0.809545	0.432141	-0.747258	
0.475115	-0.456255	0.773681	-0.692955	
0.226729	-0.444191	0.967768	-0.390940	
0.393520	-0.083377	0.554993	-0.761510	
0.058603	-0.461596	0.400727	-0.773397	
0.065368	-0.442130	0.464994	-0.742283	
0.394182	-0.126990	0.804435	-0.342675	
0.934918	-0.334142	0.846856	-0.708599	
0.752376	-0.451680	0.503993	-0.236496	
0.196186	-0.630016	0.925997	-0.751179	
0.472666	-0.809782	0.885826	-0.389745	
0.889494	-0.455113	0.541662	-0.870840	
0.536552	-0.781374	0.840738	-0.340988	
0.231339	-0.275906	0.974543	-0.594547	
0.517993	-0.346923	0.952538	-0.021987	
0.311510	-0.218173	0.729787	-0.753860	
0.154018	-0.226526	0.295486	-0.039844	
0.395018	-0.445690	0.587736	-0.936681	
0.301485	-0.989585	0.097904	-0.142223	
0.738305	-0.889914	0.122831	-0.712849	
0.623689	-0.747194	0.347736	-0.092579	
0.447507	-0.404089	0.503706	-0.693647	
0.989410	-0.847665	0.900827	-0.801249	
0.033450	-0.196267	0.365904	-0.137539	
0.682434	-0.439024	0.638886	-0.296691	
0.485811	-0.551348	0.987514	-0.608643	
0.471975	-0.748684	0.527744	-0.819712	
0.296925	-0.267219	0.761704	-0.800632	
0.919654	-0.306394	0.324883	-0.336833	
